"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","18650 3.7V","","","","",""
"C1","1","100nF","","","","",""
"C2","1","1000uF","","","","","~"
"D1","1","LED","","","","",""
"M1","1","ULN2003 Driver Module","","","","",""
"R1","1","220","","","","",""
"SM1","1","28BYJ-48","","","","",""
"SW1","1","Button (wake)","","","","",""
"U1","1","TP4056","","","","",""
"U2","1","ESP32-C3 SuperMini","","","","",""
"U3","1","AP3602A Boost 5V","","","","",""
